Name	Set	ImageFile	TrueName	Type	Serial	Rarity	School	Level	Cost	Race	Attack	Defense	Flavor	Ability1	Ability2	Ability3	Ability4
Pillage	BP02	BP02-050	n/a	Conjure	BP02-050	U	Luna	n/a	3	n/a	n/a	n/a	Knowing an enemy's movements is key to a sucessful raid.	[Quickcast] (You may play this card any time you have priority.)	Until end of turn, if target enemy player would draw a card by a card or ability, you draw a card instead.	[Quickcast] (You may play this card any time you have priority.)	Until end of turn, if target enemy player would draw a card by a card or ability, you draw a card instead.
Preparation	BP02	BP02-051	n/a	Conjure	BP02-051	U	Luna	n/a	3	n/a	n/a	n/a	Just how many of them do they have?...	Destroy target servant. If you do, it's owner searches their deck for a card with the same name and puts it into the field. Then that player shuffles their deck.	Destroy target servant. If you do, it's owner searches their deck for a card with the same name and puts it into the field. Then that player shuffles their deck.		
Abolition	BP02	BP02-052	n/a	Conjure	BP02-052	U	Luna	n/a	7	n/a	n/a	n/a	Bamanon's order of greed. To surrender all to the demon.	Put all servants on the bottom of their owners' decks in any order chosen by their owners.	Put all servants on the bottom of their owners' decks in any order chosen by their owners.		
Lineal (Lv1)	BP02	BP02-053	Hakari Shikimori	Caster	BP02-053	SR	Aqua	1	n/a	n/a	n/a	n/a	Muu...my bust size decreased?	[Rest]: Put target conjure in an enemy graveyard on the bottom of its owner's deck.			
Lady Lupinus (Lv1)	BP02	BP02-054	Kaede Himuro	Caster	BP02-054	R	Aqua	1	n/a	n/a	n/a	n/a	I'm no match for Koyori-san...	[Rest], discard a caster: Put target Heishi in an allied graveyard into your hand.			
Broom Spica (Lv1)	BP02	BP02-055	Tomoka Nakamura	Caster	BP02-055	R	Aqua	1	n/a	n/a	n/a	n/a	Why are you so nice to people, Haru?	"[Rest], banish this card: Search your deck for a Lv1 card named ""Haru Michelle"" and put it into the field. Then shuffle your deck. Play this ability only if you don't control a card named ""Haru Michelle""."			
Karen Urania (Lv2)	BP02	BP02-056	Karen Kashima	Caster	BP02-056	UR	Aqua	2	n/a	n/a	n/a	n/a	Command the stars!	"Banish another ""Karen Urania"": Until end of turn, the next time target allied servant would be destroyed by non-battle, it isn't destroyed."	[Rest]: Draw two cards and discard a card if an allied servant was destroyed by non-battle this turn.	"Banish another ""Karen Urania"": Until end of turn, the next time target allied servant would be destroyed by non-battle, it isn't destroyed."	[Rest]: Draw two cards and discard a card if an allied servant was destroyed by non-battle this turn.
Tadamasa	BP02	BP02-057	n/a	Servant	BP02-057	C	Aqua	n/a	3	Heroic Spirit/Heishi	1000	1000	This is the art of war.	Continuous	[Quickcast] (You may play this card any time you have priority.)	[Enter] ? Rest or reverse target servant.	
Rocket Pencil Hedgehog	BP02	BP02-058	n/a	Servant	BP02-058	C	Aqua	n/a	3	Supplies	2000	2000	Touch me and you'll get dirty!	Whenever this card is targeted by an enemy card or ability ? That enemy player discards a card.			
Iemori	BP02	BP02-059	n/a	Servant	BP02-059	C	Aqua	n/a	4	Heroic Spirit/Heishi	2000	2000	Calling for help as soon as possible.	"[Enter] ? Search your deck for a Heishi not named ""Iemori"", reveal it and put it into your hand. Then shuffle your deck."			
Increased Exposure	BP02	BP02-060	n/a	Conjure	BP02-060	U	Aqua	n/a	2	n/a	n/a	n/a	Which should I choose~	Search your deck for a Lv2 caster, reveal it and put it into your hand. Then shuffle your deck.	Search your deck for a Lv2 caster, reveal it and put it into your hand. Then shuffle your deck.		
Knowledge From Ancestors	BP02	BP02-061	n/a	Conjure	BP02-061	U	Aqua	n/a	3	n/a	n/a	n/a	Ancient masters of magic, grant me your eldritch knowledge.	Search your deck for a conjure, reveal it and put it into your hand. Then shuffle your deck.	Search your deck for a conjure, reveal it and put it into your hand. Then shuffle your deck.		
Ambush	BP02	BP02-062	n/a	Conjure	BP02-062	U	Aqua	n/a	4	n/a	n/a	n/a	Surprise! Wah!	[Quickcast] (You may play this card any time you have priority.)	Reveal the top five cards of your deck. Put a Heishi from among them into the field. Put the rest on the bottom of your deck in any order. At the next end of turn ? Destroy the card put into the field by this card.	[Quickcast] (You may play this card any time you have priority.)	Reveal the top five cards of your deck. Put a Heishi from among them into the field. Put the rest on the bottom of your deck in any order. At the next end of turn ? Destroy the card put into the field by this card.
Rei Ranpole (Lv1)	BP02	BP02-063	Ayumi Ikuyama	Caster	BP02-063	R	Aes	1	n/a	n/a	n/a	n/a	Seria. Is work slow at your job? Let's skip.	"[Rest], banish this card: Search your deck for a Lv1 card named ""Mona Styla"" and put it into the field. Then shuffle your deck. Play this ability only if you don't control a card named ""Mona Styla""."			
Oar Schlein (Lv1)	BP02	BP02-064	Nachiru Shiromi	Caster	BP02-064	R	Aes	1	n/a	n/a	n/a	n/a	I'll leave this to Homura.	[Rest], banish a Genji: Draw a card.			
Tenel Frula (Lv1)	BP02	BP02-065	Sahoko Mitazono	Caster	BP02-065	SR	Aes	1	n/a	n/a	n/a	n/a	An~ Let's go to Karaoke!	[Rest], discard a caster: Target allied Cosmetics gains [Double Corrupt] until end of turn.			
Citra Cayce (Lv2)	BP02	BP02-066	Kaoru Shida	Caster	BP02-066	UR	Aes	2	n/a	n/a	n/a	n/a	Miracle?Make Up!	"[Rest], banish another ""Citra Cayce"": Search your deck for a Lv1 caster you do not control and put it into the field. Then shuffle your deck. Play this ability only during main timing."	[rest], return a Lv1 allied caster to its owner's hand: Up to two target allied Cosmetics gain +1000 ATK until end of turn.	"[Rest], banish another ""Citra Cayce"": Search your deck for a Lv1 caster you do not control and put it into the field. Then shuffle your deck. Play this ability only during main timing."	[rest], return a Lv1 allied caster to its owner's hand: Up to two target allied Cosmetics gain +1000 ATK until end of turn.
Tokiwa	BP02	BP02-067	n/a	Servant	BP02-067	C	Aes	n/a	1	Heroic Spirit/Genji	500	0	Take me on if you can.				
Masako	BP02	BP02-068	n/a	Servant	BP02-068	C	Aes	n/a	2	Heroic Spirit/Genji	500	500	Yoritomo's favor is taller than any mountain, deeper than any ocean.	[Enter] ? Rest target reversed enemy servant.			
Sagami Bou TENGU48	BP02	BP02-069	n/a	Servant	BP02-069	C	Aes	n/a	5	Tengu	3000	3000	Come follow me.	At the beginning of your turn ? Return this card to its owner's hard.	[Enter] ? Gain control of target enemy servant as long as this card is in the field. (Even if control of this card changes, you retain control of the targeted card.)	At the beginning of your turn ? Return this card to its owner's hard.	[Enter] ? Gain control of target enemy servant as long as this card is in the field. (Even if control of this card changes, you retain control of the targeted card.)
Soul Bond	BP02	BP02-070	n/a	Conjure	BP02-070	U	Aes	n/a	2	n/a	n/a	n/a	An awakening when two casters feel love and friendship for each other.	You may pay the Aes aether cost of this card with aether of any element. (Aether of no element still cannot be used.)	Choose a soul bond servant from your extra deck and soul bond it. (Choose one of each of the required soul bond material casters from among the allied caster zone, or your hand. If you do, put the revealed soul bond servant into the allied servant zone with the soul bond materials as its stock.)	You may pay the Aes aether cost of this card with aether of any element. (Aether of no element still cannot be used.)	Choose a soul bond servant from your extra deck and soul bond it. (Choose one of each of the required soul bond material casters from among the allied caster zone, or your hand. If you do, put the revealed soul bond servant into the allied servant zone with the soul bond materials as its stock.)
Forbidden Love	BP02	BP02-071	n/a	Conjure	BP02-071	U	Aes	n/a	3	n/a	n/a	n/a	We can't...	As an additional cost to play this card, discard two casters.	Search your deck for two Lv1 casters with different names, reveal them and put them into your hand. Then shuffle your deck.	As an additional cost to play this card, discard two casters.	Search your deck for two Lv1 casters with different names, reveal them and put them into your hand. Then shuffle your deck.
Partner Change	BP02	BP02-072	n/a	Conjure	BP02-072	U	Aes	n/a	4	n/a	n/a	n/a	Sometimes a different teamup is good.	Exchange control of target Lv1 face up caster your opponent controls that does not share a name with any card you control, and target Lv1 face up caster you control that does not share a name with any card your opponent controls. (If, during this card's resolution, a target becomes invalid for any reason, the exchange does not occur.)	Exchange control of target Lv1 face up caster your opponent controls that does not share a name with any card you control, and target Lv1 face up caster you control that does not share a name with any card your opponent controls. (If, during this card's resolution, a target becomes invalid for any reason, the exchange does not occur.)		
Kururu Sentline	BP02	BP02-073	n/a	Soul Bond Servant	BP02-073	SR		n/a	n/a	Spirit Form	1000	1000	Moon Water Dragon Fist!	"""Twinkle Charm"" ? ""Zoi Russel"""	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter]. Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"	[Enter] ? Target enemy player banishes a servant.	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter]. Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"
Sirius Lucin	BP02	BP02-074	n/a	Soul Bond Servant	BP02-074	SR		n/a	n/a	Spirit Form	1000	1000	Inferno Equation!	"""Deshi Lion"" ? ""Chaleur Suu"""	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"	[Enter] ? Destroy target reversed enemy servant.	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"
Floom Heidi	BP02	BP02-075	n/a	Soul Bond Servant	BP02-075	SR		n/a	n/a	Spirit Form	1000	1000	Gentle Punch?	"""Flame Rouge"" ? ""Chain of Hearts"""	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"	[Enter] ? Return target servant to its owner's hand.	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"
Mipheel	BP02	BP02-076	n/a	Soul Bond Servant	BP02-076	SR		n/a	n/a	Spirit Form	2000	0	Dream of a Spring Night!	"""Ran Berfield"" ? ""Miu"""	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"	[Enter] ? Put target servant in an allied graveyard into your hand. (When this card enters the field ? Perform the effect.)	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"
Ranniart	BP02	BP02-077	n/a	Soul Bond Servant	BP02-077	SR		n/a	n/a	Spirit Form	2000	0	Bruschetta Per Favore!	"""Sunny"" ? ""Shera Angellica"""	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"	[Enter] ? Target enemy player discards a card.	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"
Lily Lulu	BP02	BP02-078	n/a	Soul Bond Servant	BP02-078	SR		n/a	n/a	Spirit Form	1000	1000	Lamp Light Winds!	"""Paruetta"" ? ""Eli Superior"""	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"	[Enter] ? Look at the top four cards of your deck. You may choose a Flower or Insect from among them and put it into the field. Put the rest on the bottom of your deck in any order.	"[Soul Seal] (This card has ""Banish one of this card's stock: Play this card's [Enter] Play this ability only during main timing."". If this card would leave the field for a non-field zone. Banish one of this card's stock instead.)"
